JulyDay2014,DailyRiverTemp_F,DailyAirTemp_F,DailyDischarge_cfs,MaxRiverTemp_F,MinRiverTemp_F,MinAirTemp_F,MaxAirTemp_F,Daily Baseflow
1,79.43551042,78.64887153,5640.208333,81.266,77.574,72,89.86458333,4170
2,80.63960417,79.90234375,5319.583333,82.686,78.8,71,89,4100.7
3,80.82386458,74.79296875,5350.208333,82.864,79.326,68.375,87.82291667,4032.5
4,78.91567708,68.42252604,5587.083333,80.206,77.05,61.41666667,74,3965.4
5,77.23578125,68.70138889,4907.916667,79.853,74.791,58.16666667,80.90625,3899.5
6,77.90282292,70.67252604,4327.708333,80.029,75.139,56,82,3834.7
7,78.65520833,78.27061632,3726.25,81.266,76.006,67.08333333,89.875,3720
8,79.01651042,76.16970486,3621.666667,81.09,76.703,67,86.91666667,3620
9,79.04184375,74.11002604,4166.041667,81.621,76.528,64,85.875,3646.5
10,78.59078125,71.35438368,4624.375,80.559,76.528,62.05208333,81,3585.9
11,79.03189583,72.24956597,4305.833333,82.152,76.006,61,85,3526.3
12,80.06697917,73.77690972,3833.645833,82.686,77.225,62,85.86458333,3467.7
13,79.92759375,76.17252604,3411.875,81.621,77.923,69.20833333,84.86458333,3410
14,79.04864583,72.98350694,3657.1875,79.853,77.923,68,77,3324.4
15,77.80439583,73.05034722,3723.645833,78.8,76.703,68,80.875,3240.9
16,77.77841667,68.84201389,5250,79.326,75.832,59.10416667,78,3159.5
17,77.69796875,66.29036458,5442.395833,79.326,76.181,56.41666667,77,3080.2
18,76.7345625,65.77951389,4566.770833,78.8,74.271,53,77.91666667,3002.8
19,76.94253125,69.36935764,3715.729167,78.8,74.791,61.05208333,78.875,2927.4
20,77.826625,71.72005208,3215.520833,80.911,74.964,63,80.83333333,2853.9
21,78.31054167,71.34570313,2846.770833,80.029,76.528,63,79.875,2782.2
22,78.74761458,75.52647569,2795.625,81.442,76.528,65,85,2712.3
23,80.39941667,78.73611111,2730.729167,83.221,78.098,69.05208333,89.625,2644.2
24,79.15540625,69.88368056,2561.25,80.911,77.574,56.625,77.95833333,2560
25,77.80919792,64.30034722,2366.666667,80.735,75.139,48.05208333,79,2370
26,77.732875,70.36306424,2312.916667,79.502,75.659,57.08333333,83,2310
27,79.19686458,75.07248264,2342.5,81.797,77.05,65.09375,87,2340
28,78.71433333,68.78971354,2316.25,80.029,77.574,60.625,78,2320
29,76.07415625,64.19639757,2268.541667,77.574,72.891,57.20833333,70.90625,2270
30,74.9340625,63.72677951,2487.604167,76.703,72.891,51,75,2276.8
31,74.69566667,66.19986979,3217.5,76.354,72.718,59.09375,77.83333333,2283.6
