OctDay2014,DailyRiverTemp_F,DailyAirTemp_F,DailyDischarge_cfs,MaxRiverTemp_F,MinRiverTemp_F,MinAirTemp_F,MaxAirTemp_F
1,69.11923958,62.93359375,1568.854167,70.995,68.077,58,72
2,68.7955625,60.05360243,1559.895833,69.964,67.906,53,69.875
3,67.0715625,61.31684028,1849.895833,67.906,66.537,51.125,68.875
4,65.82633333,55.57921007,1887.5,66.708,63.455,37.41666667,64
5,61.06128125,46.77322049,1945.625,63.282,60.024,36.16666667,56.91666667
6,59.89094792,55.62586806,1860.416667,61.398,58.303,38.16666667,70.90625
7,61.61507292,61.9750434,1870.104167,63.111,60.368,56,70.625
8,62.66497917,60.00303819,2066.041667,64.481,61.569,49.41666667,70.72916667
9,60.89483333,53.06445313,2159.791667,62.769,59.851,39,65
10,59.00701111,49.16796875,2261.875,59.851,57.958,39,57.90625
11,59.317875,52.46440972,2273.958333,60.712,58.131,44.625,61
12,59.37460417,50.14149306,2154.791667,61.398,57.268,36.41666667,62
13,59.48485417,58.51150174,1972.708333,60.368,58.82,55,61.91666667
14,60.72457292,69.75737847,1881.25,62.425,59.337,61,75
15,63.15054167,67.06271701,2111.145833,63.455,62.425,63,73
16,62.83991667,60.59505208,4595.9375,64.139,61.912,56.125,66.95833333
17,61.45297917,60.74414063,7827.1875,62.254,60.539,53,69.86458333
18,61.41555208,57.0703125,6129.270833,62.425,60.712,50,62.94791667
19,58.85544792,46.57703993,5056.041667,60.712,57.958,37,54
20,56.74038542,48.41210938,4472.395833,57.958,55.884,36,59.875
21,56.61051042,54.01323785,4019.6875,57.614,55.711,47.20833333,62.875
22,55.86734375,53.01475694,3676.145833,57.096,54.669,50,54.95833333
23,54.1504375,55.79947917,3381.5625,54.669,53.623,51,60.94791667
24,54.98154167,58.17274306,3271.25,56.923,53.449,43.41666667,68.91666667
25,55.5225625,54.75108507,3216.666667,57.268,53.623,38,70
26,55.42627083,54.49500868,3068.4375,56.404,53.973,40.20833333,63
27,54.41784375,48.08810764,2862.604167,56.404,52.225,34,66
28,55.09548958,59.48480903,2762.395833,56.75,53.1,42,77.83333333
29,56.17626042,53.27473958,2675,56.75,55.364,40.10416667,61
30,54.26988542,45.73394097,2547.1875,55.364,53.449,36,54.83333333
31,52.80983333,44.67556424,2409.375,53.973,51.874,36.08333333,51.875
