JulyDay2014,DailyRiverTemp_F,DailyAirTemp_F,DailyDischarge_cfs,MaxRiverTemp_F,MinRiverTemp_F,MinAirTemp_F,MaxAirTemp_F
1,79.62044792,78.64887153,5640.208333,82.152,77.4,72,89.86458333
2,80.58942708,79.90234375,5319.583333,82.686,78.8,71,89
3,80.41476042,74.79296875,5350.208333,82.864,78.449,68.375,87.82291667
4,78.51563542,68.42252604,5587.083333,79.853,76.528,61.41666667,74
5,77.1971875,68.70138889,4907.916667,80.735,74.271,58.16666667,80.90625
6,77.86189583,70.67252604,4327.708333,80.735,74.791,56,82
7,78.88591667,78.27061632,3726.25,81.975,76.006,67.08333333,89.875
8,79.06563542,76.16970486,3621.666667,81.975,76.528,67,86.91666667
9,78.99438542,74.11002604,4166.041667,82.33,76.181,64,85.875
10,78.49332292,71.35438368,4624.375,80.911,76.006,62.05208333,81
11,79.04461458,72.24956597,4305.833333,83.043,75.659,61,85
12,79.9621875,73.77690972,3833.645833,83.579,76.703,62,85.86458333
13,79.93983333,76.17252604,3411.875,82.152,77.749,69.20833333,84.86458333
14,78.84966667,72.98350694,3657.1875,80.206,77.574,68,77
15,77.68815625,73.05034722,3723.645833,78.8,76.528,68,80.875
16,77.7860625,68.84201389,5250,80.382,75.312,59.10416667,78
17,77.92008333,66.29036458,5442.395833,80.559,76.006,56.41666667,77
18,76.93695833,65.77951389,4566.770833,79.853,74.098,53,77.91666667
19,76.98330208,69.36935764,3715.729167,79.151,74.791,61.05208333,78.875
20,77.97465625,71.72005208,3215.520833,81.442,74.964,63,80.83333333
21,78.17841667,71.34570313,2846.770833,80.382,76.181,63,79.875
22,78.56769792,75.52647569,2795.625,81.975,75.832,65,85
23,80.38988542,78.73611111,2730.729167,83.579,77.4,69.05208333,89.625
24,79.07964583,69.88368056,2561.25,80.911,77.05,56.625,77.95833333
25,77.58811458,64.30034722,2366.666667,81.621,73.58,48.05208333,79
26,77.2903125,70.36306424,2312.916667,79.853,74.446,57.08333333,83
27,79.16085417,75.07248264,2342.5,82.686,76.181,65.09375,87
28,78.84330208,68.78971354,2316.25,80.735,76.876,60.625,78
29,75.96702083,64.19639757,2268.541667,78.098,73.753,57.20833333,70.90625
30,74.8184375,63.72677951,2487.604167,77.05,71.856,51,75
31,74.47452083,66.19986979,3217.5,76.528,72.545,59.09375,77.83333333
